corp_abbr,time,risk_type_name,,预期结果,实际结果,实现效果
三一集团有限公司,2019年9月,{nan: 1},,"（1）原始表包含风险类型字段。经评估该字段准确性较高，可以直接用于风险事件预警。
（2）按周、月颗粒度对企业进行风险事件统计。
（3）输出企业风险事件时间轴，或输出一段时间内风险事件统计图表。具体展现形式待后期进一步探索。","（1）实现了周、月颗粒度的对企业进行风险事件统计。
（2）不同企业舆情的时间跨度不尽相同，结果输出时应注意统计的时间范围。
（3）生成了风险事件统计柱状图，由于不同企业风险事件类别不同，可以尝试饼状图输出。","（1）risk_type_name列对应输出结果。字典中Key对应风险事件类别（nan对应正常舆情），value对应风险事件数量。
（2）生成上海汽车舆情风险分析图表（见PPT）"
上投摩根基金管理有限公司,2020年11月,{nan: 1},,,,
上投摩根基金管理有限公司,2021年11月,{nan: 1},,,,
上海国际港务(集团)股份有限公司,2021年2月,{nan: 1},,,,
上海国际港务(集团)股份有限公司,2021年6月,{nan: 1},,,,
上海复星医药(集团)股份有限公司,2020年11月,{nan: 1},,,,
上海复星医药(集团)股份有限公司,2020年12月,{nan: 1},,,,
上海复星医药(集团)股份有限公司,2021年1月,"{'市场预警': 1, '股份减持': 1, nan: 1}",,,,
上海复星医药(集团)股份有限公司,2022年2月,{nan: 1},,,,
上海汽车集团股份有限公司,2020年3月,{'市场份额下滑': 1},,,,
上海汽车集团股份有限公司,2020年7月,{nan: 1},,,,
上海汽车集团股份有限公司,2021年10月,{nan: 1},,,,
上海汽车集团股份有限公司,2021年11月,{'经营下降或恶化': 1},,,,
上海汽车集团股份有限公司,2021年1月,{nan: 2},,,,
上海汽车集团股份有限公司,2021年3月,{'盈利能力下降或亏损': 2},,,,
上海汽车集团股份有限公司,2021年7月,{'舆论预警': 2},,,,
上海汽车集团股份有限公司,2021年8月,"{nan: 1, '风险澄清': 1}",,,,
上海浦东发展银行股份有限公司,2019年4月,{'致歉事项': 1},,,,
上海浦东发展银行股份有限公司,2019年8月,{nan: 1},,,,
上海浦东发展银行股份有限公司,2020年1月,{nan: 1},,,,
上海浦东发展银行股份有限公司,2022年1月,{'标准券折算率下调': 1},,,,
东方明珠新媒体股份有限公司,2020年12月,{'财务预警': 1},,,,
东方财富信息股份有限公司,2020年9月,{'减持套现': 1},,,,
东方财富信息股份有限公司,2021年1月,{'盈利能力下降或亏损': 1},,,,
东方财富信息股份有限公司,2021年5月,{nan: 1},,,,
东方财富信息股份有限公司,2021年7月,{nan: 1},,,,
东方财富信息股份有限公司,2022年1月,{'减持套现': 1},,,,
东方财富信息股份有限公司,2022年2月,{nan: 1},,,,
中兴通讯股份有限公司,2017年8月,{nan: 1},,,,
中兴通讯股份有限公司,2020年4月,{'盈利能力下降或亏损': 1},,,,
中兴通讯股份有限公司,2020年5月,{'舆论预警': 1},,,,
中兴通讯股份有限公司,2020年6月,{nan: 1},,,,
中兴通讯股份有限公司,2021年10月,{nan: 1},,,,
中兴通讯股份有限公司,2021年11月,{nan: 1},,,,
中兴通讯股份有限公司,2021年5月,{'募集资金用途变更': 1},,,,
中兴通讯股份有限公司,2021年8月,{nan: 1},,,,
中兴通讯股份有限公司,2022年1月,{'经营预警': 1},,,,
中兴通讯股份有限公司,2022年2月,{nan: 1},,,,
中国东方航空集团有限公司,2019年6月,{nan: 1},,,,
中国中信集团有限公司,2018年11月,{nan: 1},,,,
中国人民保险集团股份有限公司,2018年12月,{'经营预警': 1},,,,
中国人民保险集团股份有限公司,2020年10月,{'股份减持': 1},,,,
中国光大银行股份有限公司,2016年4月,{nan: 1},,,,
中国光大银行股份有限公司,2016年9月,{nan: 1},,,,
中国光大银行股份有限公司,2017年3月,{nan: 1},,,,
中国光大银行股份有限公司,2017年4月,{nan: 1},,,,
中国光大银行股份有限公司,2017年8月,{nan: 1},,,,
中国光大银行股份有限公司,2020年3月,{nan: 1},,,,
中国光大银行股份有限公司,2020年6月,{nan: 1},,,,
中国光大银行股份有限公司,2020年7月,{'高管层重大变动': 1},,,,
中国光大银行股份有限公司,2021年12月,"{'关联企业出现问题': 1, nan: 1}",,,,
中国光大银行股份有限公司,2021年8月,{nan: 1},,,,
中国光大银行股份有限公司,2021年9月,{'高管层重大变动': 1},,,,
中国再保险(集团)股份有限公司,2019年11月,{nan: 1},,,,
中国再保险(集团)股份有限公司,2021年10月,{'盈利能力下降或亏损': 1},,,,
中国农业发展银行,2016年8月,{nan: 1},,,,
中国农业发展银行,2017年4月,{nan: 1},,,,
中国农业发展银行,2017年8月,{nan: 1},,,,
中国农业发展银行,2019年1月,{nan: 1},,,,
中国农业发展银行,2021年11月,{nan: 1},,,,
中国农业发展银行,2021年12月,{nan: 1},,,,
中国农业发展银行,2021年1月,{nan: 1},,,,
中国农业发展银行,2021年3月,{nan: 1},,,,
中国农业发展银行,2021年5月,{'市场预警': 1},,,,
中国农业发展银行,2021年9月,{nan: 1},,,,
中国农业发展银行,2022年2月,{nan: 1},,,,
中国农业银行股份有限公司,2017年5月,{'行政处罚': 2},,,,
中国农业银行股份有限公司,2017年9月,{nan: 1},,,,
中国农业银行股份有限公司,2018年12月,"{'经营预警': 1, nan: 1}",,,,
中国农业银行股份有限公司,2018年9月,{nan: 1},,,,
中国农业银行股份有限公司,2020年8月,{'关联企业出现问题': 1},,,,
中国农业银行股份有限公司,2021年5月,{nan: 2},,,,
中国农业银行股份有限公司,2021年7月,{nan: 2},,,,
中国农业银行股份有限公司,2021年8月,{nan: 1},,,,
中国华电集团有限公司,2019年10月,{nan: 1},,,,
中国华电集团有限公司,2019年2月,{nan: 1},,,,
中国华电集团有限公司,2019年4月,{nan: 1},,,,
中国华电集团有限公司,2021年2月,{nan: 1},,,,
中国华电集团有限公司,2021年9月,{nan: 1},,,,
中国南方电网有限责任公司,2017年4月,{nan: 1},,,,
中国南方电网有限责任公司,2018年10月,{nan: 1},,,,
中国国家铁路集团有限公司,2018年8月,{nan: 1},,,,
中国国家铁路集团有限公司,2019年4月,{'信用预警': 1},,,,
中国国家铁路集团有限公司,2020年7月,{'市场预警': 1},,,,
中国国家铁路集团有限公司,2021年12月,{nan: 1},,,,
中国国家铁路集团有限公司,2021年8月,{nan: 1},,,,
中国国新控股有限责任公司,2017年8月,{nan: 1},,,,
中国国新控股有限责任公司,2018年9月,{nan: 1},,,,
中国太平洋保险(集团)股份有限公司,2019年6月,{nan: 1},,,,
中国太平洋保险(集团)股份有限公司,2019年8月,{nan: 1},,,,
中国太平洋保险(集团)股份有限公司,2020年7月,{nan: 1},,,,
中国太平洋保险(集团)股份有限公司,2021年10月,{'减持套现': 1},,,,
中国太平洋保险(集团)股份有限公司,2021年12月,{nan: 1},,,,
中国太平洋保险(集团)股份有限公司,2021年8月,{'估值下调': 1},,,,
中国宝武钢铁集团有限公司,2019年6月,{nan: 1},,,,
中国工商银行股份有限公司,2017年10月,{'行政处罚': 1},,,,
中国工商银行股份有限公司,2019年11月,{nan: 1},,,,
中国工商银行股份有限公司,2019年1月,{'行政处罚': 1},,,,
中国工商银行股份有限公司,2020年3月,{'市场预警': 1},,,,
中国工商银行股份有限公司,2021年11月,{nan: 1},,,,
中国工商银行股份有限公司,2021年1月,{nan: 2},,,,
中国工商银行股份有限公司,2021年6月,{nan: 2},,,,
中国工商银行股份有限公司,2021年8月,{nan: 1},,,,
中国平安保险(集团)股份有限公司,2018年9月,{'市场预警': 1},,,,
中国平安保险(集团)股份有限公司,2019年3月,{nan: 1},,,,
中国平安保险(集团)股份有限公司,2019年8月,{nan: 1},,,,
中国平安保险(集团)股份有限公司,2020年5月,{nan: 1},,,,
中国平安保险(集团)股份有限公司,2021年10月,{'盈利能力下降或亏损': 1},,,,
中国平安保险(集团)股份有限公司,2021年1月,{nan: 1},,,,
中国平安保险(集团)股份有限公司,2021年8月,"{nan: 2, '市场预警': 1}",,,,
中国建设银行股份有限公司,2017年9月,{'行政处罚': 1},,,,
中国建设银行股份有限公司,2018年11月,{nan: 1},,,,
中国建设银行股份有限公司,2019年4月,{nan: 1},,,,
中国建设银行股份有限公司,2019年5月,{nan: 1},,,,
中国建设银行股份有限公司,2020年12月,{'高管层重大变动': 1},,,,
中国建设银行股份有限公司,2020年6月,{nan: 1},,,,
中国建设银行股份有限公司,2021年11月,{nan: 1},,,,
中国建设银行股份有限公司,2021年12月,{'经营预警': 1},,,,
中国建设银行股份有限公司,2021年2月,{'高管层重大变动': 1},,,,
中国建设银行股份有限公司,2021年3月,{nan: 2},,,,
中国建设银行股份有限公司,2021年9月,{nan: 3},,,,
中国建设银行股份有限公司,2022年2月,"{nan: 1, '关联企业出现问题': 1}",,,,
中国民生银行股份有限公司,2016年5月,{nan: 1},,,,
中国民生银行股份有限公司,2016年7月,{nan: 1},,,,
中国民生银行股份有限公司,2017年5月,{nan: 1},,,,
中国民生银行股份有限公司,2017年6月,{nan: 1},,,,
中国民生银行股份有限公司,2017年7月,{nan: 1},,,,
中国民生银行股份有限公司,2017年8月,{nan: 2},,,,
中国民生银行股份有限公司,2017年9月,{nan: 2},,,,
中国民生银行股份有限公司,2018年10月,{nan: 1},,,,
中国民生银行股份有限公司,2018年11月,{nan: 1},,,,
中国民生银行股份有限公司,2019年5月,{nan: 1},,,,
中国民生银行股份有限公司,2019年7月,{nan: 1},,,,
