,corp_abbr,time,topic1,topic2,topic3,,预期结果,实际结果,实际效果
0,三一集团有限公司,2019年9月,重卡 道依茨 项目 智联 三一 开工 万台 发动机 活动 董事长,,,,"（1）按周颗粒度、月颗粒度对新闻进行聚类，生成一段时间的若干新闻主题。
（2）生成的新闻主题可用于生成单一企业的热点时间轴，展现热点事件的变化。","（1）基本实现预期主题生成的结果。同花顺每月单一企业的舆情有10条左右，数量较少，因此选择生成3类主题（针对新闻数量过少的情况，只生成1个主题）。
（2）分别尝试生成3个主题和2个主题。3个主题的效果更优。","（1）主题数量的选择需要进一步精细化。例如，华为公司的舆情可以划分为3个区别明显的主题，但是上海复兴医药和紫光集团的3个主题含义相近，应合并为单一主题。
（2）程序中提供通过elbow图人工选择主题数量的功能，后期可以探索自动化的主题数量选择。"
0,上投摩根基金管理有限公司,2020年11月,基金 qdii 首批 出海 全球 精选 华夏 人民币 上投摩根 今年以来,,,,,,
0,上投摩根基金管理有限公司,2021年11月,基金 经理 长盛 经纬 开债 11 2017 63 app 上投摩根基金管理有限公司,,,,,,
0,上海国际港务(集团)股份有限公司,2021年2月,俱乐部 上港 财务 请问 盈利 陈戍源 体系 同花顺 占优 关注,,,,,,
0,上海国际港务(集团)股份有限公司,2021年6月,码头 四期 洋山 自动化 上港集团 突破 大脑 最强 标准箱 集装箱,,,,,,
0,上海复星医药(集团)股份有限公司,2020年11月,11 70 载明 回答 13 18 互动 低温 保存 关注,,,,,,
0,上海复星医药(集团)股份有限公司,2020年12月,合作 复星医药 疫苗 凤凰网 新冠 投资 成交额 港股 最新 人民币,,,,,,
0,上海复星医药(集团)股份有限公司,2021年1月,减持 显示 二级 万股 姚方 姚方于 市场 32 数据 日至,上市 核准 境外 外资股 复星医药 12 31 hk ic 25,集团 境外 十五分钟 出具 减持 公布 亿股 二级 上海 上市,,,,
0,上海复星医药(集团)股份有限公司,2022年2月,板块 内部 集团 运营 关注 领域 发布 强化 定期 复星医药,,,,,,
0,上海汽车集团股份有限公司,2020年3月,上汽集团 月份 销量 降幅 接近 万台 万辆 仅为 产销 29,,,,,,
0,上海汽车集团股份有限公司,2020年7月,租车 神州 上汽集团 服务 19 600104 上汽 亿元 收购 超过,,,,,,
0,上海汽车集团股份有限公司,2021年10月,智能 技术 软件 核心 领域 零束 电子 系统 联创 中兴通讯,,,,,,
0,上海汽车集团股份有限公司,2021年11月,大众 上汽 销量 芯片 车型 10 累计 短缺 月份 合资,,,,,,
0,上海汽车集团股份有限公司,2021年1月,新宝骏 披露 汽车 智能 采用 上汽集团 芯片 功能 车型 用户,,,,,,
0,上海汽车集团股份有限公司,2021年3月,同比 销量 上汽 市场 五菱 海外 万辆 亿元 净利润 2020,,,,,,
0,上海汽车集团股份有限公司,2021年7月,华为 汽车 系统 上汽集团 亿元 车企 选择 拒绝 营收 制造,,,,,,
0,上海汽车集团股份有限公司,2021年8月,品牌 自主 电池 上汽集团 比亚迪 销量 特斯拉 市值 2020 市场,,,,,,
0,上海浦东发展银行股份有限公司,2019年4月,信用卡 烈士 免除 中心 转发 浦发银行 火灾 图片 员工 发布,,,,,,
0,上海浦东发展银行股份有限公司,2019年8月,附件 链接 金融债券 详情请 网站 第三期 标题 发布 债网 付息,,,,,,
0,上海浦东发展银行股份有限公司,2020年1月,亿元 增长 同比增加 11 浦发银行 88 198 2019 21 23,,,,,,
0,上海浦东发展银行股份有限公司,2022年1月,转债 下调 110059 浦发 2022 aaa 评级 主体 14 25,,,,,,
0,东方明珠新媒体股份有限公司,2020年12月,东方明珠 财经 谢谢 2015 211 29 600637 业绩 关注 利润,,,,,,
0,东方财富信息股份有限公司,2020年9月,股份 万股 减持 计划 股本 副总经理 程磊 超过 交易方式 近日,,,,,,
0,东方财富信息股份有限公司,2021年1月,ibm 美元 每股 亿美元 同比 下降 收益 14 17 2020,,,,,,
0,东方财富信息股份有限公司,2021年5月,巴菲特 股东大会 价值 回归 嘉宾 北京 凌晨 再度 全程 二人,,,,,,
0,东方财富信息股份有限公司,2021年7月,拿不住 思路 修正 仓位 不重,,,,,,
0,东方财富信息股份有限公司,2022年1月,减持 实施 计划 13 股份 程磊 完毕 发布公告 100 2022,,,,,,
0,东方财富信息股份有限公司,2022年2月,东财 转股 2022 发布 收盘 28 10 18 2021 到位,,,,,,
0,中兴通讯股份有限公司,2017年8月,附件 链接 货币 详情请 网站 标题 披露 发布 半年度 信息,,,,,,
0,中兴通讯股份有限公司,2020年4月,资料 84 中国 中兴通讯 下降 下同 hk de 25 营业,,,,,,
0,中兴通讯股份有限公司,2020年5月,hk 续跌 现造 低见 股价 天线 成交 25 半导体 昨天,,,,,,
0,中兴通讯股份有限公司,2020年6月,附件 链接 上海 下载 中兴通讯股份有限公司 发布 发行 合并 审计 年度,,,,,,
0,中兴通讯股份有限公司,2021年10月,千元 净利 近日 852 08 10 115 13 169 2021,,,,,,
0,中兴通讯股份有限公司,2021年11月,鸿蒙 操作系统 支点 华为 中兴 处理器 国内 手机 一款 开源,,,,,,
0,中兴通讯股份有限公司,2021年5月,附件 链接 上海 下载 中兴通讯股份有限公司 事项 募集 发布 变更 年度,,,,,,
0,中兴通讯股份有限公司,2021年8月,2021 中兴通讯 高新技术 六个月 13 27 30 hk 业绩 中国,,,,,,
0,中兴通讯股份有限公司,2022年1月,有限公司 技术 股东 系统集成 深圳市 中兴 工商 90 app 中兴通讯股份有限公司,,,,,,
0,中兴通讯股份有限公司,2022年2月,otn 采购 设备 中国移动 骨干 板卡 wdm 传送 十四 平面,,,,,,
0,中国东方航空集团有限公司,2019年6月,混改 物流 东航 落地 方案 东航集团 正式 10 2017 19,,,,,,
0,中国中信集团有限公司,2018年11月,种业 高科 隆平 2018 世界 全球 数据 多前 新锐 控制,,,,,,
0,中国人民保险集团股份有限公司,2018年12月,在线 扫描 点击 微信 客服 咨询 关注 二维码,,,,,,
0,中国人民保险集团股份有限公司,2020年10月,集团 减持 美国 资本 持股 12 10 finetai 中国 万股,,,,,,
0,中国光大银行股份有限公司,2016年4月,附件 链接 货币 详情请 网站 簿记 标题 方案 承诺函 建档,,,,,,
0,中国光大银行股份有限公司,2016年9月,附件 发行 链接 货币 详情请 网站 标题 存单 同业 发布,,,,,,
0,中国光大银行股份有限公司,2017年3月,附件 链接 货币 详情请 网站 标题 更新 存单 同业 发行,,,,,,
0,中国光大银行股份有限公司,2017年4月,附件 链接 货币 详情请 网站 流通 标题 发布 光大银行 债券,,,,,,
0,中国光大银行股份有限公司,2017年8月,附件 链接 货币 详情请 网站 流通 标题 发布 光大银行 债券,,,,,,
0,中国光大银行股份有限公司,2020年3月,增长 亿元 同比 充足率 资本 百分点 年末 17 净收入 2019,,,,,,
0,中国光大银行股份有限公司,2020年6月,光大 年度 2019 审计 合并 2017 审计报告 政策 会计制度 会计,,,,,,
0,中国光大银行股份有限公司,2020年7月,27 董事会 董事 委员 委员会 执行 金融 工作 601818 sh,,,,,,
0,中国光大银行股份有限公司,2021年12月,光大银行 年度 2022 机构 审计 续聘 行政处罚 违法 乐居 财经,,,,,,
0,中国光大银行股份有限公司,2021年8月,科技 平台 光大 金融 创新 项目 区块 技术 数据 突破,,,,,,
0,中国光大银行股份有限公司,2021年9月,股东 监事会 监事 辞呈 提交 29 app 光大银行 发布公告 委员,,,,,,
0,中国再保险(集团)股份有限公司,2019年11月,中国 12 收入 按年 保费 再保险 财产保险 公布 1508 22,,,,,,
0,中国再保险(集团)股份有限公司,2021年10月,12 中国 资料 人民币 10 2021 22 25 334 91,,,,,,
0,中国农业发展银行,2016年8月,附件 发行 链接 金融债券 详情请 网站 标题 发布 中国农业发展银行 中债,,,,,,
0,中国农业发展银行,2017年4月,附件 链接 金融债券 货币 详情请 网站 标题 发布 付息 中国农业发展银行,,,,,,
0,中国农业发展银行,2017年8月,附件 链接 详情请 网站 标题 年报 发布 债网 中国农业发展银行 下载,,,,,,
0,中国农业发展银行,2019年1月,附件 链接 详情请 网站 第六次 标题 招标 投标书 应急 发行,,,,,,
0,中国农业发展银行,2021年11月,手机 客户 上线 银行 过程 优化 助力 该行 服务 配合,,,,,,
0,中国农业发展银行,2021年12月,年终 决算 贷款 支行 投放 各项 亿元 工作 部门 万元,,,,,,
