,seq,page_title,created_at,publish_source,page_content_seg,page_title_seg,"page_content, '$.title')","page_content, '$.pubtime')","page_content, '$.url')",data_sentiment,data_type,data_value,content,full_name,simhash,duplicate
812,6110134,东方红合盈4号集合资产管理计划周报（报告期末：2022年2月11日）,2022-02-16 14:46:26,东方证券-定期公告,,,东方红合盈4号集合资产管理计划周报（报告期末：2022年2月11日）,2022-02-16 00:00:00,https://www.dfham.com/upload/pdf/1644970917965-dfhhy4hjhzcgljhzb%28bgqm2022n2y11r%29.pdf,1.0,0.0,T000044430,东方红合盈4号集合资产管理计划周报报告期末：2022年2月11日资产管理计划管理人：上海东方证券资产管理有限公司资产管理计划托管人：中国农业银行股份有限公司重要提示本资产管理计划管理人承诺以诚实信用、勤勉尽责的原则管理和运用本资产管理计划资产，但不保证本资产管理计划一定盈利。本资产管理计划的过往业绩并不代表其未来表现。投资有风险，投资者在作出投资决策前应仔细阅读本资产管理计划合同及说明书。本报告中数据未经审计。一、基本信息二、投资组合情况三、报告期末按市值占资产管理计划资产净值比例大小排序的前五名股票明细注：对于同时在A+H股上市的股票，合并计算公允价值参与排序，并按照不同股票分别披露。四 、报告期末按市值占资产管理计划资产净值比例大小排序的前十名债券明细上海东方证券资产管理有限公司2022年2月16日,上海东方证券资产管理有限公司,0010011001101110100001001111111000101000111000010100010001110011,0
1497,6133423,东方财富：东方财富信息股份有限公司关于东财转3即将停止交易及停止转股暨赎回前最后四个交易日的重要提示性公告,2022-02-22 20:17:11,深交所股票,,,东方财富：东方财富信息股份有限公司关于东财转3即将停止交易及停止转股暨赎回前最后四个交易日的重要提示性公告,2022-02-23 00:00:00,http://static.cninfo.com.cn/finalpage/2022-02-23/1212430942.PDF,1.0,0.0,T000026667,"证券代码：300059           证券简称：东方财富           公告编号：2022-027债券代码：123111                     债券简称：东财转3东方财富信息股份有限公司关于“东财转3”即将停止交易及停止转股暨赎回前最后四个交易日的重要提示性公告本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。特别提示：2022年2月28日为“东财转3”最后一个交易日和转股日。2022年2月28日收市后，仍未转股的“东财转3”将停止交易、停止转股，公司将按照100.18元/张的价格强制赎回“东财转3”。公司特别提醒投资者仔细阅读本公告内容，关注相关风险，谨慎交易“东财转3”，在2022年2月28日收市前完成转股。当日买入“东财转3”的投资者，当日收市前? ?可以申请转股。具体转股操作建议债券持有人提前咨询开户证券公司。未开通创业板交易权限的投资者持有的“东财转3”不能转股。1、“东财转3”（债券代码：123111）赎回价格：100.18元/张（债券面值加当期应计利息（含税），当期利率为0.20%），扣税后的赎回价格以中国证券登记结算有限责任公司深圳分公司（以下简称“结算公司”）核准的价格为准。2、停止交易和转股日：2022年3月1日3、赎回日：2022年3月1日4、发行人资金到账日（到达结算公司账户）：2022年3月4日5、投资者赎回款到账日：2022年3月8日重要风险提示：1、“东财转3”将停止交易、停止转股、被提前赎回并摘牌根据安排，截止2022年2? ??28日收市后仍未转股的“东财转3”将停止交易、停止转股；东方财富信息股份有限公司（以下简称“公司”）将按照100.18元/张的价格强制赎回“东财转3”；本次赎回完成后，“东财转3”将在深圳证券交易所（以下简称“深交所”）摘牌。特提醒债券持有人注意在限期内转股。2、未开通创业板交易权限的投资者持有的“东财转3”不能转股“东财转3”债券持有人若转股，需开通创业板交易权限。投资者不符合创业板股票适当性管理要求，未开通创业板交易权限的，不能将所持“东财转3”转换为股票，特提醒投资者关注不能转股的风险。3、“东财转3”停止交易日可能提前根据相关规定，“东财转3”流通面值若少于人民币3,000万元时，自公司发布相关公告三个交易日后将停止交易，? ??此“东财转3”实际停止交易时间可能提前，敬请广大投资者及时关注公司公告。4、被质押或被冻结的“东财转3”可能无法转股债券持有人持有的“东财转3”如存在被质押或被冻结的，建议在停止交易和转股日前解除质押和冻结，以免出现无法转股而被赎回的情形。一、赎回情况概述1、触发赎回情形公司于2021年4月7日向不特定对象发行了15,800万张可转换公司债券“东财转3”，每张面值100元，发行总额158.00亿元。“东财转3”初始转股价格为28.08元/股，因公司实施2020年度权益分派方案，自2021年5月27日（除权除息日）起，转股价格调整为23.35元/股。“东财转3”于2021年10月13日起进入转股期，并于2021年11月2日首次触发有条件赎回条款，同日公司召开第? ??届董事会第十八次会议，决定2021年度内不行使“东财转3”的提前赎回权利，不提前赎回“东财转3”。以2022年1月1日后首个交易日重新计算，公司股票自2022年1月4日至2022年1月24日连续15个交易日的收盘价格不低于当期转股价格（23.35元/股）的130%（30.36元/股），已触发《东方财富信息股份有限公司创业板向不特定对象发行可转换公司债券募集说明书》（以下简称“《募集说明书》”）中约定的有条件赎回条款。公司第五届董事会第十九次会议审议通过了《关于赎回全部已发行可转换公司债券的议案》，决定行使“东财转3”赎回权，按照可转债面值加当期应计利息的价格赎回在赎回登记日登记在册的全部“东财转3”。2、赎回条款根据《募集说明书》第二节之“二、本次发行概况”之“（十）本次发行主要条 款”之“11、赎回条款”中“（2）有条件赎回条款”的约定：在本次可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），公司有权按照本次可转债面值加当期应计利息的价格赎回全部或部分未转股的本次可转债。本次可转债的赎回期与转股期相同，即发行结束之日满六个月后的第一个交易日起至本次可转债到期日止。当期应计利息的计算公式为：IA =B×i×t / 365IA：指当期应计利息；B：指本次可转债持有人持有的本次可转债票面总金额；i：指本次可转债当年票面利率；t：指计息天数，即从上一个计息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整? ?前的交易日按调整前的转股价格和收盘价格计算，调整日及之后的交易日按调整后的转股价格和收盘价格计算。此外，当本次可转债未转股余额不足人民币3,000万元时，公司董事会（或由董事会授权的人士）有权决定以面值加当期应计利息的价格赎回全部未转股的本次可转债。二、赎回实施安排1、赎回价格根据《募集说明书》中关于有条件赎回条款的约定，“东财转3”赎回价格为100.18元/张。计算过程如下：当期应计利息的计算公式为：IA=B×i×t/365，其中：计息天数：从计息起始日（2021年4月7日）起至本计息年度赎回日（2022年3月1日）止的实际日历天数为328天（算头不算尾）。当期利息IA=B×i×t/365=100×0.20%×328/365=0.18元/张赎回价格=债券面值+当期利息=100.18元/? ?关于投资者债券利息所得扣税情况说明如下：根据《中华人民共和国个人所得税法》以及其他相关税收法规和文件的规定，公司可转债个人投资者（包括证券投资基金）应缴纳债券利息收入个人所得税，征税税率为利息额的20%。对于持有本期可转债的合格境外机构投资者等非居民企业（其含义同《中华人民共和国企业所得税法》），根据《财政部、税务总局关于境外机构投资境内债券市场企业所得税、增值税政策的通知》（财税〔2018〕108号）及《财政部、税务总局关于延续境外机构投资境内债券市场企业所得税、增值税政策的公告》（财政部、税务总局公告2021年第34号）规定，自2021年11月7日起至2025年12月31日止，对境外机构投资境内债券市场取得的债券利息收入暂免征收企业所得税和增值税。根据《中华人民共和国企业所得税法? ??以及其他相关税收法规和文件的规定，对于持有可转债的居民企业，其债券利息所得税需自行缴纳。2、赎回对象2022年2月28日收市后登记在册的所有“东财转3”。3、赎回程序及时间安排（1）公司在首次满足赎回条件后的5个交易日内在深交所网站和符合中国证监会规定条件的信息披露媒体上至少发布三次赎回公告，通告“东财转3”持有人本次赎回的相关事项。（2）2022年2月28日为“东财转3”最后一个交易日和转股日。根据相关规定，“东财转3”流通面值若少于人民币3,000万元时，自公司发布相关公告三个交易日后将停止交易，因此“东财转3”实际停止交易时间可能提前，敬请广大投资者及时关注公司公告。（3）2022年3月1日为“东财转3”赎回日。自2022年3月1日起? ?“东财转3”将停止交易和转股。本次提前赎回完成后，“东财转3”将在深交所摘牌。（4）2022年3月4日为“东财转3”赎回款的公司付款日，2022年3月8日为赎回款到达“东财转3”持有人资金账户日，届时“东财转3”赎回款将通过可转债托管券商直接划入“东财转3”持有人的资金账户。（5）公司将在本次赎回结束后7个交易日内，在深交所网站和符合中国证监会规定条件的信息披露媒体上披露赎回结果公告和可转债摘牌公告。三、公司实际控制人、控股股东、持股5%以上的股东、董事、监事、高级管理人员在赎回条件满足前的六个月内交易“东财转3”的情况在本次“东财转3”赎回条件满足前6个月内（即在2021年7月24日至2022年1月24日期间内），公司实际控制人、控股股东、持股5%以上的股东、公司",东方财富信息股份有限公司,0100001100011010100000101100101100101011001001011011001110110111,0
1302,6105571,2022年第一期中国铁路建设债券投标参与人名单,2022-02-15 15:27:50,上交所债券,,,2022年第一期中国铁路建设债券投标参与人名单,2022-02-15 00:00:00,http://www.sse.com.cn/disclosure/bond/announcement/corporate/c/2022-02-15/c_20220215_5693117.pdf,1.0,0.0,T000122006,2022年第一期中国铁路建设债券投标参与人名单1、承销团成员：2、直接投资人：根据国家发改委《企业债券招标发行业务指引》规定，除上述承销团成员投标人之外，本期债券的直接投资人为中央国债登记结算有限责任公司于2021年3月1日公布的《关于公布2021年度企业债券直接投资人名单的通知? ??列示的机构。3、承销团成员及直接投资人均有跨市场交易选择权限。,中国国家铁路集团有限公司,0010010010101100110000001010100100100110011101110101100011010000,0
681,6129226,南方基金关于旗下部分基金增加中植基金为销售机构及开通相关业务的公告,2022-02-22 08:02:48,南方基金-基金官网,,,南方基金关于旗下部分基金增加中植基金为销售机构及开通相关业务的公告,2022-02-22 00:00:00,http://www.nffund.com/main/files/2022/02/21/324787948508.pdf,1.0,0.0,T000012997,南方基金关于旗下部分基金增加中植基金为销售机构及开通相关业务的公告根据南方基金管理股份有限公司（简称“本公司”）与北京中植基金销售有限公司（简称“中植基金”）签署的销售合作协议，中植基金将自2022年2月22日起代理销售本公司旗下部分基金。现将有关事项公告如下:一、 适用基金及业务范围从2022年2月22日起，投资人可通过中植基金办理上述列表中对应基金的开户、申购、赎回、定投、转换等业务。上述列表中的基金可参与费率优惠活动，具体优惠规则以中植基金的安排为准。二、 重要提示1、上述申购赎回业务仅适用于处于正常申购期及处于特定开放日和开放时间的基金。基金封闭期、募集期等特殊期间的有关规定详见对应基金的《基金合同》、《招募说明书》、《产品资料概要》等相关法律文件及本公司发布的最新业务公告。2、投资人可与中植基金约定定投业务的每期固定投资金额。目前，中植基金可办理上述适用基金列表中开通定投业务的基金，具体的定投业务规则请参考中植基金的相关规定。3、基金转换是指投资人可将其通过销售机构购买并持有的本公司旗下某只开放式基金的全部或部分基金份额，转换为本公司管理的另一只开放式基金的份额。上述适用基金列表中的基金，若同时采用前端收费和后端收费，则只开通前端收费模式下的转换业务。三、 投资 人可通过以下途径了解或咨询相关情况：中植基金客服电话：4008980618中植基金网址：https://www.chtfund.com/南方基金客服电话：400-889-8899南方基金网址：www.nffund.com四、 风险提示：1、投资人应当认真阅读《基金合同》、《招募说明书》、《产品资料概要》等基金法律文件及相关公告，了解基金的风险收益特征，并根据自身的投资目的、投资期限、投资经验、资产状况等判断基金是否和投资人的风险承受能力相适应。2、投资人应当充分了解基金定投和零存整取等储蓄方式的区别。定期定额投资是引导投资人进行长期投资、平均投资成本的一种简单易行的投资方式。但是定投并不能规避基金投资所固有的风险，不能保证投资人获得收益，也不是替代储蓄的等效理财方式。特此公告? ??方基金管理股份有限公司2022年2月22日,南方基金管理股份有限公司,0010000000001100111000011000110101010010001101100100010000101100,0
1618,6120387,广州农村商业银行股份有限公司2022年第022期同业存单发行情况公告,2022-02-18 17:19:14,货币网-债券发行,,,广州农村商业银行股份有限公司2022年第022期同业存单发行情况公告,2022-02-18 00:00:00,http://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=open&contentId=2306580&priority=0,1.0,0.0,T000027142,广州农村商业银行股份有限公司2022年度第022期同业存单发行情况公告22广州农村商业银行CD022已成功发行，现将发行情况公告如下：全国银行间同业拆借中心2022年02月18日*本发行情况公告由全国银行间同业拆借中心发行系统生成。,广州农村商业银行股份有限公司,0010000010011110111000111110111110110001110101010101001101101110,0
8,6106258,徽商银行股份有限公司2022年第010期同业存单发行情况公告,2022-02-15 16:24:59,货币网-债券发行,,,徽商银行股份有限公司2022年第010期同业存单发行情况公告,2022-02-15 00:00:00,http://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=open&contentId=2303397&priority=0,1.0,0.0,T000026806,徽商银行股份有限公司2022年度第010期同业存单发行情况公告22徽商银行CD010已成功发行，现将发行情况公告如下：全国银行间同业拆借中心2022年02月15日*本发行情况公告由全国银行间同业拆借中心发行系统生成。,徽商银行股份有限公司,0010010010011110111001111100111110010000110101010101001101101100,0
1199,6126941,"19亚迪01:关于""19亚迪01""回售实施结果的公告",2022-02-21 17:39:22,深交所债券,,,"19亚迪01:关于""19亚迪01""回售实施结果的公告",2022-02-21 00:00:00,http://disc.static.szse.cn/download/disc/disk03/finalpage/2022-02-21/a0628130-be85-4437-95ec-293509339d30.PDF,1.0,0.0,T000001787,"证券代码：002594债券代码：112854证券简称：比亚迪公告编号：2022-016债券简称：19亚迪01比亚迪股份有限公司关于“19亚迪01”回售实施结果的公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。根据《比亚迪股份有限公司2019年面向合格投资者公开发行公司债券（第一期）募集说明书》的约定，比亚迪股份有限公司（以下简称“公司”）分别于2022年1月14日、2022年1月17日和2022年1月18日发布了《关于“19亚迪01”票面利率调整及投资者回售实施方法的第一次提示性公告》（公告编号：2022-005）、《关于“19亚迪01”票面利率调整及投资者回售实施方法的第二次提示性公告》（公告编号：2022-006）和《关于“19亚迪01”票面利率调整? ??投资者回售实施方法的第三次提示性公告》（公告编号：2022-007）（前述公告简称““19亚迪01”票面利率调整及投资者回售实施方法的提示性公告”）。“19亚迪01”公司债券持有人有权决定在回售登记期（2022年1月19日、2022年1月20日和2022年1月21日）内选择将持有的全部或部分“19亚迪01”债券进行回售申报登记，回售价格为人民币100元/张（不含利息）。根据中国证券登记结算有限责任公司深圳分公司对“19亚迪01”回售情况的统计，“19亚迪01”回售数量为24,540,563张，回售金额为2,566,942,889.80元（含回售部分利息）。根据“19亚迪01”票面利率调整及投资者回售实施方法的提示性公告，公司将不对回售债券进行转售，故“19亚迪01”的注销数量为24,540,563张，注销金额为2,454,056,300元，剩余托管数量为459,437张。截至本公告披露日? ?公司已将“19亚迪01”回售部分债券应支付的本金及利息足额划付至中国证券登记结算有限责任公司深圳分公司指定的银行账户，上述资金将于回售资金到账日划付至投资者资金账户，回售资金到账日为2022年2月22日。特此公告。比亚迪股份有限公司董事会2022年2月21日",比亚迪股份有限公司,0010001010010110111110110110101000100001101101010101001000110110,0
557,6108839,22鄂交Y1:湖北交通投资集团有限公司2022年面向专业投资者公开发行可续期公司债券(第一期)更名公告,2022-02-15 19:41:25,深交所债券,,,22鄂交Y1:湖北交通投资集团有限公司2022年面向专业投资者公开发行可续期公司债券(第一期)更名公告,2022-02-16 00:00:00,http://disc.static.szse.cn/download/disc/disk03/finalpage/2022-02-16/a1bc9b8c-8e15-44c2-be6b-5f2a80f557f3.PDF,1.0,0.0,T000055671,湖北交通投资集团有限公司2022年面向专业投资者公开发行可续期公司债券（第一期）更名公告湖北交通投资集团有限公司（以下简称“公司”）已于2020年9月2日收到《关于同意湖北省交通投资集团有限公司向专业投资者公开发行公司债券注册的批复》（证监许可[2020]2067号），同意公司面向专业投资者公开发行面值不超过100亿元（含100亿元）的公司债券（以下简称“本次债券”），采取分期发行的方式发行。本次债券申报时名称为“湖北省交通投资集团有限公司2020年面向专业投资者公开发行公司债券”，由于发行人涉及名称变更，且本次债券跨年度发行，涉及分期发行，同时本次发行的债券为上述批文项下2022年发行的第一期，债券品种为可续期公司债券，根据公司债券命名规则，本次发行的债券更名为“湖北交通投资集团有限 公司2022年面向专业投资者公开发行可续期公司债券（第一期）”。本期债券名称变更不改变原签订的与本次债券发行相关的法律文件效力，原签订的相关法律文件对更名后的公司债券继续具有法律效力。特此公告。,湖北交通投资集团有限公司,0010001001001100111100011000101111101010000001100100101001010110,0
946,6120484,重庆农村商业银行股份有限公司2022年第001期同业存单发行要素公告,2022-02-18 17:25:23,货币网-债券发行,,,重庆农村商业银行股份有限公司2022年第001期同业存单发行要素公告,2022-02-18 00:00:00,http://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=open&contentId=2306646&priority=0,1.0,0.0,T000027128,重庆农村商业银行股份有限公司2022年度第001期同业存单发行公告发行人根据相关法律、法规、规范性文件的规定编制而成同业存单发行计划，并已通过中国货币网（www.chinamoney.com.cn）披露。本发行公告属于前述发行计划的组成部分。2022年02月18日*本发行公告由全国银行间同业拆借中心发行系统生成。,重庆农村商业银行股份有限公司,0010010001011101111001111100101110010000010101011001001101111101,0
881,6126530,长沙银行股份有限公司2022年第033期同业存单发行要素公告,2022-02-21 17:16:25,货币网-债券发行,,,长沙银行股份有限公司2022年第033期同业存单发行要素公告,2022-02-21 00:00:00,http://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=open&contentId=2308159&priority=0,1.0,0.0,T0000026242,长沙银行股份有限公司2022年度第033期同业存单发行公告发行人根据相关法律、法规、规范性文件的规定编制而成同业存单发行计划，并已通过中国货币网（www.chinamoney.com.cn）披露。本发行公告属于前述发行计划的组成部分。2022年02月21日*本发行公告由全国银行间同业? ?借中心发行系统生成。,长沙银行股份有限公司,0010000001011101111001111000101110010000010101011101011100111101,0
