全称,简称
鸿腾精密科技股份有限公司,
1药网,
360公司,
58同城,
A8新媒体集团-青松基金,
OPPO,
万国数据服务有限公司,
万得信息技术股份有限公司,
三一集团有限公司,三一集团
上投摩根基金管理有限公司,上投摩根
上海东方证券资产管理有限公司,东方证券
上海久事(集团)有限公司,久事集团
上海国际港务(集团)股份有限公司,上港集团
上海复星医药(集团)股份有限公司,复星医药
上海寻梦信息技术有限公司,拼多多
上海微创医疗器械(集团)有限公司,微创医疗
上海携程商务有限公司,
上海新微科技集团有限公司,新微科技
上海汽车集团股份有限公司,上汽集团
上海浦东发展银行股份有限公司,浦发银行
上海电影(集团)有限公司,
上海盘京投资管理中心(有限合伙),盘京投资
上海绿地股权投资管理有限公司,绿地股权投资
上海联影医疗科技股份有限公司,
上海蔚来汽车有限公司,蔚来汽车
上海衍复投资管理有限公司,衍复投资
上海高毅资产管理合伙企业(有限合伙),高毅资产
东方恒信资本控股集团有限公司,
东方控股国际集团,
东方明珠新媒体股份有限公司,
东方财富信息股份有限公司,
东芯半导体股份有限公司,
东风汽车集团有限公司,东风汽车
中信国际电讯集团有限公司,
中兴通讯股份有限公司,
中国东方航空集团有限公司,东航集团
中国中信集团有限公司,中信集团
中国中化控股有限责任公司,中化控股
中国交通建设集团有限公司,中交集团
中国人寿保险(集团)公司,中国人寿
中国人民保险集团股份有限公司,中国人保
中国保利集团有限公司,保利集团
中国信息安全研究院有限公司,中国信息安全研究院
中国信息通信科技集团有限公司,
中国光大银行股份有限公司,光大银行
中国再保险(集团)股份有限公司,中再集团
中国农业发展银行,农发行
中国农业银行股份有限公司,农业银行
中国华电集团有限公司,中国华电
中国南方电网有限责任公司,南方电网
中国国家铁路集团有限公司,国铁集团
中国国新控股有限责任公司,中国国新
中国太平保险集团有限责任公司,中国太平
中国太平洋保险(集团)股份有限公司,太平洋保险
中国宝武钢铁集团有限公司,中国宝武
中国工商银行股份有限公司,工商银行
中国平安保险(集团)股份有限公司,中国平安
中国建筑股份有限公司,中国建筑
中国建设银行股份有限公司,建设银行
中国投融资担保股份有限公司,中投保
中国投资有限责任公司,中投
中国旅游集团有限公司,中国旅游
中国民生银行股份有限公司,民生银行
中国电信股份有限公司,中国电信
中国电子信息产业集团有限公司,
中国电子工程设计院有限公司,
中国电子科技集团有限公司,中国电科
中国电影股份有限公司,
中国石油化工股份有限公司,中石化
中国石油天然气股份有限公司,中石油
中国科学院控股有限公司,
中国移动通信集团有限公司,中国移动
中国第一汽车集团有限公司,一汽集团
中国联合网络通信股份有限公司,中国联通
中国航天科工集团有限公司,中航科工
中国船舶重工集团有限公司,中船重工
中国诚通控股集团有限公司,中国诚通
中国进出口银行,口行
中国远洋海运集团有限公司,中远海运
中国通信服务股份有限公司,
中国通用技术(集团)控股有限责任公司,
中国邮政储蓄银行股份有限公司,邮储
中国邮政集团有限公司,邮政集团
中国铁塔股份有限公司,中国铁塔
中国银行股份有限公司,中国银行
中圣集团,
中央汇金投资有限责任公司,中央汇金
中微半导体设备(上海)股份有限公司,
中欧基金管理有限公司,中欧基金
中电工业互联网有限公司,
中粮集团有限公司,中粮集团
中联重科股份有限公司,中联重科
中芯国际集成电路制造有限公司,
临海市交通投资集团有限公司,NULL
临海市国有资产投资控股集团有限公司,NULL
临海市城市建设发展与投资集团有限公司,NULL
九坤投资(北京)有限公司,九坤投资
亚信科技,亚信科技
亚投资本,
交通银行股份有限公司,交通银行
京东方科技集团股份有限公司,
众能联合数字技术有限公司,
伯恩光学有限公司,
健隆生物科技股份有限公司,
先临三维科技股份有限公司,
全国社会保障基金理事会,社保基金
兰溪市城市投资集团有限公司,NULL
兴业银行股份有限公司,兴业银行
兴证全球基金管理有限公司,兴全基金
内蒙古蒙牛乳业(集团)股份有限公司,蒙牛乳业
冠捷科技集团,
凤凰出版传媒股份有限公司,
凤凰卫视控股有限公司,
凯乐士科技集团,
分众传媒信息技术股份有限公司,
利安人寿保险股份有限公司,利安人寿
北京三快科技有限公司,美团
北京九天微星科技发展有限公司,
北京亦庄国际投资发展有限公司,亦庄国投
北京京东叁佰陆拾度电子商务有限公司,京东
北京以萨技术股份有限公司,
北京信义时代电影股份有限公司,
北京兆易创新科技股份有限公司,
北京光线传媒股份有限公司,
北京国联视讯信息技术股份有限公司,
北京当当网信息技术有限公司,
北京快乐时代科技发展有限公司,
北京控股集团有限公司,北京控股
北京搜狗科技发展有限公司,
北京百度网讯科技有限公司,百度
北京车励行信息技术有限公司,理想
