seq,data_value,com_name,full_name,stock_name,stock_code,stock_hkcode,stock_hkname,stock_bcode,stock_bname,stock_3code,stock_3name,stock_mcode,stock_mname,com_type,website,register_address,main_business,business_scope,com_logo,industry,is_sync_relation,isvalid,updated_at,created_at,opt_user,opt_name,opt_full_name,opt_alias_name,ths_industry,thscode,hkthscode,bthscode,three_thscode,mthscode,securities_type,org_type,province,city,astate,bstate,hkstate,three_state,mstate,grab_level,refreshed_at,org_uscc,sys_name,busi_date,etl_time,p_dt
123088,T002958244,null,携程计算机技术(上海)有限公司,null,null,null,null,null,null,null,null,null,null,null,null,310104,null,"计算机软、硬件技术和系统集成的开发,销售自产产品,科技咨询,市场咨询,投资咨询,信息服务(包括网上旅游信息咨询服务),订房服务,会务服务,商务咨询,酒店管理,餐饮信息服务,在上海市长宁区金钟路999号1幢内从事自有房屋出租。【依法须经批准的项目,经相关部门批准后方可开展经营活动】",null,null,0,1,2022/1/19 17:59,2018/7/23 16:10,null,null,null,null,null,null,null,null,null,null,null,20004,310000,310100,null,null,null,null,null,3,2022/1/19 17:59,91310000607284919B,PSAS,20220215,2022/2/16 5:20,20220215
164995,T004759020,null,冠捷科技集团,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,2021/9/22 19:36,2018/7/23 17:16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2021/9/22 19:41,null,PSAS,20220214,2022/2/15 5:26,20220214
206447,Q003A3D90D,null,中国电子工程设计院有限公司,null,null,null,null,null,null,null,null,null,null,null,http://www.ceedi.com.cn,110108,null,"承包与其实力、规模、业绩相适应的国外工程项目;对外派遣实施上述境外工程所需劳务人员;出版《洁净与空调技术》(限本公司内设机构期刊编辑部出版,有效期至2023年12月31日);压力管道设计GB2级、GC1(1)(2)级;城市规划;工程咨询;造价咨询;环境影响评价;节能评估;各行业、各等级建筑工程设计;工程装饰;项目管理;房屋建筑施工总承包;计算机硬件、电子仪器仪表的开发、销售;建筑及相关工程设备、材料的开发、生产、销售;《洁净与空调技术》期刊广告的设计、发布、代理业务;进出口业务;技术开发;技术转让;技术服务;软件开发;软件销售;应用软件服务(医用软件除外);基础软件服务;工程检测;环境检测。(市场主体依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事国家和本市产业政策禁止和限制类项目的经营活动。)",null,null,0,1,2022/1/19 18:18,2018/7/23 17:53,null,null,null,null,null,null,null,null,null,null,null,20006,110000,110100,null,null,null,null,null,3,2022/1/19 18:18,91110000400007412C,PSAS,20220218,2022/2/19 5:29,20220218
238537,T000058009,利安人寿,利安人寿保险股份有限公司,null,null,null,null,null,null,null,null,null,null,保险机构,http://www.lianlife.cc/,320105,个人保险;团体保险,"人寿保险、健康保险、意外伤害保险等各类人身保险业务,上述业务的再保险业务,国家法律、法规允许的保险资金运用业务,经中国保监会批准的其他业务。","20141110,etool_14505451379.jpg",null,0,1,2021/12/29 18:26,2018/7/23 18:22,null,null,null,null,null,null,null,null,null,null,null,20999,320000,320100,null,null,null,null,null,3,2021/12/29 18:26,9.13E+17,PSAS,20220209,2022/2/10 5:21,20220209
272050,T000076270,null,深圳华大基因科技有限公司,null,null,null,null,null,null,null,null,null,null,null,www.genomics.cn,440308,null,"一般经营项目是:计算机软硬件及外围设备的技术研发和销售;货物及技术进出口业务;投资兴办实业(具体项目另行申报);水产品养殖和销售;生物技术的研发、转让与咨询服务.教育教学检测和评价活动;以自有资金从事投资活动.(除依法须经批准的项目外,凭营业执照依法自主开展经营活动),许可经营项目是:无",null,null,0,1,2022/2/2 18:35,2018/7/23 19:37,null,null,null,null,null,null,null,null,null,null,null,20999,440000,440300,null,null,null,null,null,3,2022/2/2 18:35,91440300678591043R,PSAS,20220223,2022/2/24 5:20,20220223
365746,T000676525,null,阿里巴巴(中国)有限公司,null,null,null,null,null,null,null,null,null,null,null,http://www.gtm-a4b4.com,330108,null,"服务:企业管理,计算机系统服务,电脑动画设计,经济信息咨询服务(除商品中介),成年人的非证书劳动职业技能培训和成年人的非文化教育培训(涉及前置审批的项目除外);生产:计算机软件;销售自产产品。(国家禁止和限制的除外,凡涉及许可证制度的凭证经营)",null,null,0,1,2022/2/16 19:08,2018/7/23 23:17,null,null,阿里巴巴(中国)有限公司,盒马鲜生,null,null,null,null,null,null,null,20004,330000,330100,null,null,null,null,null,3,2022/2/16 19:08,91330100799655058B,PSAS,20220222,2022/2/23 5:26,20220222
1000016,T000027142,广州农村商业银行,广州农村商业银行股份有限公司,null,null,1551,广州农商银行,null,null,null,null,null,null,银行,www.grcbank.com,440112,中国农村商业银行，主要业务包括公司银行业务、零售银行业务及金融市场业务。,　　吸收本外币公众存款；发放本外币短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；代理发行、代理兑付、承销政府债券；买卖政府债券、买卖和发行金融债券；从事本外币同业拆借；从事银行卡（借记卡、贷记卡）业务；代理收付款项及代理保险业务；提供保管箱服务；外汇汇款、外币兑换；结汇、售汇；外汇资信调查、咨询和见证业务；基金托管、保险资产托管业务；理财业务；基金代销业务；电子银行业务；信贷资产证券化业务；经国务院银行业监督管理机构及其他相关监管机构批准的其他业务。,"20120322,etool_14363557900.jpg",银行,1,1,2021/9/1 18:57,2018/2/10 0:04,null,null,null,"广州农村商业银行,广州农商行",银行,null,1551.HK,null,null,null,"2,001,003","272,001,002,001,005,000,000,000,000",440000,440100,null,null,213001,null,null,1,2021/9/1 18:58,9.14E+17,PSAS,20220216,2022/2/17 5:26,20220216
1000400,90697,保利集团,中国保利集团有限公司,null,null,null,null,null,null,null,null,null,null,中央企业,www.poly.com.cn,110101,房地产开发及物业管理板块、文化艺术管理板块、军民品贸易板块、矿产资源投资开发板块、民爆业务板块、设计及监理收入。,　　国有股权经营与管理；实业投资、资本运营、资产管理；受托管理；对集团所属企业的生产经营活动实施组织、协调、管理；承办中外合资经营、合作生产； 　　进出口业务；会议服务；承办展览展示活动；与以上业务相关的投资、咨询、技术服务、信息服务等。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,null,综合,0,1,2021/9/1 18:56,2018/2/10 0:07,null,null,null,"中国保利（集团）有限公司,中国保利(集团)有限公司,中国保利有限公司",综合,null,null,null,null,null,2,20001,110000,110100,null,null,null,null,null,2,2021/9/1 18:58,9.11E+17,PSAS,20220217,2022/2/18 5:27,20220217
1002951,T000048313,光线传媒,北京光线传媒股份有限公司,光线传媒,300251,null,null,null,null,null,null,null,null,其他机构,null,110101,影视剧项目的投资、制作、发行。,　　广播电视节目的制作、发行；经营演出及经纪业务；电影发行；设计、制作、代理、发布国内及外商来华广告；信息咨询（除中介除外）；承办展览展示；组织文化艺术交流活动；技术开发、技术服务。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,null,传媒,1,1,2021/11/18 18:16,2018/2/10 0:19,null,null,null,null,传媒,300251.SZ,null,null,null,null,"2,001,001",20006,110000,110100,213001,null,null,null,null,1,2021/11/18 18:16,91110000722604869A,PSAS,20220216,2022/2/17 5:26,20220216
1003180,84016,中国人保,中国人民保险集团股份有限公司,中国人保,601319,1339,中国人民保险集团,null,null,null,null,null,null,保险机构,www.picc.com,110102,提供综合金融产品和服务，并从事财产保险业务，人身保险业务，资产管理以及其他业务。,"　　(一)投资并持有上市公司、保险机构和其他金融机构的股份;(二)监督管理控股投资企业的各种国内、国际业务;(三)国家授权或委托的政策性保险业务;(四)经中国保监会和国家有关部门批准的其他业务。(企业依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)","20141110,etool_16033194138.JPG",非银金融,1,1,2021/9/1 18:57,2018/2/10 0:20,null,null,null,"中国人民保险（集团）股份有限公司,中国人民保险(集团)股份有限公司,中国人民保险股份有限公司",保险及其他,601319.SH,1339.HK,null,null,null,"2,001,001,001,003","20,001,272,001,002,000,000,000,000,000,000",110000,110100,213001,null,213001,null,null,1,2021/9/1 18:59,9.11E+17,PSAS,20220212,2022/2/13 5:26,20220212
